initial load;;0;0;0;0;0;;;;;
encoder increments;;50;100;150;200;250;;;;;
position [mm];Applied Torque [Nm];motor load [%];motor load [%];motor load [%];motor load [%];motor load [%];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm]
20;0,11583648;8,40;6,70;7,80;7,80;7,9;0,101944751;0,081313076;0,094662983;0,094662983;0,095876611
30;0,14157792;10,20;9,60;9,60;9,60;14,1;0,123790055;0,116508287;0,116508287;0,116508287;0,171121547
40;0,16731936;16,2;16,2;15;18,00;14;0,196607735;0,196607735;0,182044199;0,218453039;0,169907919
50;0,1930608;20,3;19;22,00;19,6;20,00;0,246366483;0,230589319;0,266998158;0,237871087;0,242725599
60;0,21880224;28,20;23,70;23,10;22,50;22,90;0,342243094;0,287629834;0,280348066;0,273066298;0,27792081
70;0,24454368;31,00;25,4;24,70;24,20;23,10;0,376224678;0,30826151;0,299766114;0,293697974;0,280348066
80;0,27028512;35,50;34,90;32,7;32,60;35,00;0,430837937;0,423556169;0,396856354;0,395642726;0,424769797
